Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"2021-12-26T01:36:20",35.7591,36.219,6.68,0.42,"ML",1.6,"Akdeniz - [08.76 km] Arsuz (Hatay)",518169
"2021-12-11T03:43:51",30.1181,35.924,7.75,0.42,"ML",1.9,"Akdeniz - [36.38 km] Demre (Antalya)",517531
"2021-12-08T22:32:53",31.3871,35.6303,6.15,0.36,"ML",2.3,"Akdeniz - [107.50 km] Gazipaşa (Antalya)",517391
"2021-12-03T09:33:57",31.3886,36.513,8.22,0.51,"ML",1.9,"Akdeniz - Antalya Körfezi - [27.48 km] Manavgat (Antalya)",517060
"2021-11-24T20:24:50",35.9198,36.4768,6.99,0.34,"ML",1.6,"Akdeniz - İskenderun Körfezi - [03.41 km] Arsuz (Hatay)",516560
"2021-11-14T11:32:59",31.6176,34.7838,6.79,0.7,"ML",2.8,"Akdeniz - [169.01 km] Gazipaşa (Antalya)",515980
"2021-11-10T11:40:05",35.3515,36.135,7.46,0.37,"ML",2.4,"Akdeniz - [43.11 km] Arsuz (Hatay)",515717
"2021-11-07T06:34:15",31.4998,36.099,7.2,0.33,"ML",2,"Akdeniz - [63.82 km] Alanya (Antalya)",515536
"2021-11-06T19:20:08",30.192,36.0691,4.37,0.32,"ML",2.1,"Akdeniz - [24.92 km] Finike (Antalya)",515519
"2021-11-03T22:40:42",33.3818,35.956,6.58,0.63,"ML",1.3,"Akdeniz - [21.30 km] Aydıncık (Mersin)",515321
"2021-11-01T16:27:17",31.6395,34.6303,4.13,0.88,"ML",2.8,"Akdeniz - [183.58 km] Gazipaşa (Antalya)",515199
"2021-11-01T05:24:14",36.0591,36.8175,6.98,0.33,"ML",1.6,"Akdeniz - İskenderun Körfezi - [11.12 km] Dörtyol (Hatay)",515180
"2021-11-01T04:39:23",31.5975,36.3515,4.8,0.32,"ML",2.1,"Akdeniz - [34.46 km] Alanya (Antalya)",515179
"2021-10-28T16:12:23",35.9993,36.8336,7.83,0.6,"Mw",3.6,"Akdeniz - İskenderun Körfezi - [10.53 km] Yumurtalık (Adana)",514999
"2021-10-27T20:52:31",31.5843,36.3478,7.38,0.5,"ML",1.2,"Akdeniz - [35.20 km] Alanya (Antalya)",514928
"2021-10-23T00:29:46",30.0661,35.9613,4.74,0.46,"ML",1.7,"Akdeniz - [31.16 km] Demre (Antalya)",514702
"2021-10-19T16:59:46",31.426,35.7055,4.63,0.59,"ML",2.1,"Akdeniz - [99.52 km] Gazipaşa (Antalya)",514470
"2021-10-19T14:36:47",36.1003,36.6555,7.02,0.9,"ML",1.4,"Akdeniz - İskenderun Körfezi - [08.78 km] İskenderun (Hatay)",514466
"2021-10-18T18:51:03",36.1256,36.6371,7.05,0.64,"ML",2.4,"Akdeniz - İskenderun Körfezi - [05.87 km] İskenderun (Hatay)",514430
"2021-10-17T01:47:38",31.2075,35.655,5.58,0.48,"ML",2.1,"Akdeniz - [102.49 km] Kumluca (Antalya)",514332
"2021-10-15T18:08:21",31.6366,35.7443,7.25,0.54,"ML",1.4,"Akdeniz - [82.21 km] Gazipaşa (Antalya)",514291
"2021-10-15T12:22:01",31.4426,36.6623,6.94,0.65,"ML",1.3,"Akdeniz - Antalya Körfezi - [11.16 km] Manavgat (Antalya)",514281
"2021-10-14T17:25:50",31.569,35.9648,7.1,0.59,"ML",1.8,"Akdeniz - [73.26 km] Gazipaşa (Antalya)",514207
"2021-10-06T19:44:51",31.5765,35.8865,7.65,0.24,"ML",1.4,"Akdeniz - [76.87 km] Gazipaşa (Antalya)",513751
"2021-10-05T01:28:25",35.532,36.3388,6.99,0.33,"ML",1.7,"Akdeniz - [23.59 km] Arsuz (Hatay)",513662
"2021-09-23T15:02:42",35.9936,36.7576,7,0.51,"ML",1.9,"Akdeniz - İskenderun Körfezi - [15.24 km] Yumurtalık (Adana)",512760
"2021-09-23T09:20:34",31.0228,36.068,6.79,1.37,"ML",1.7,"Akdeniz - [60.57 km] Kumluca (Antalya)",512752
"2021-09-21T07:25:33",31.3385,35.8135,6.21,0.15,"ML",1.7,"Akdeniz - [98.46 km] Alanya (Antalya)",512635
"2021-09-19T06:47:48",30.7093,36.025,7,0.48,"ML",1.2,"Akdeniz - [42.07 km] Kumluca (Antalya)",512544
"2021-09-17T10:10:33",30.3833,35.6683,7.09,0.9,"ML",2.1,"Akdeniz - [71.40 km] Kumluca (Antalya)",512432
"2021-09-16T01:08:21",31.7818,35.1271,2.01,0.67,"ML",2.4,"Akdeniz - [128.30 km] Gazipaşa (Antalya)",512339
"2021-09-12T19:44:44",31.3068,36.5638,7,0.57,"ML",1.3,"Akdeniz - Antalya Körfezi - [25.11 km] Manavgat (Antalya)",511601
"2021-09-09T07:36:13",35.812,36.2141,6.28,0.2,"ML",2.2,"Akdeniz - [09.12 km] Arsuz (Hatay)",511371
"2021-09-08T09:27:19",30.515,35.4765,3.26,0.94,"ML",2.5,"Akdeniz - [93.75 km] Kumluca (Antalya)",511317
"2021-08-31T07:18:44",30.0423,35.9883,7,0.17,"ML",1.7,"Akdeniz - [27.81 km] Demre (Antalya)",510404
"2021-08-27T02:08:05",31.6503,36.0878,6.99,0.63,"ML",1.3,"Akdeniz - [58.05 km] Alanya (Antalya)",510257
"2021-08-24T09:42:10",36.0265,36.7568,7,0.97,"ML",1.5,"Akdeniz - İskenderun Körfezi - [16.08 km] Payas (Hatay)",510123
"2021-08-18T08:08:57",30.2688,35.865,7.76,0.54,"ML",1.9,"Akdeniz - [47.99 km] Demre (Antalya)",509754
"2021-08-13T13:27:59",31.505,36.1056,7.06,0.53,"ML",1.9,"Akdeniz - [62.98 km] Alanya (Antalya)",509507
"2021-08-13T12:47:02",31.7176,35.2451,5.11,0.81,"ML",2.5,"Akdeniz - [120.09 km] Gazipaşa (Antalya)",509504
"2021-08-12T10:30:47",35.0366,36.4973,6.5,0.44,"ML",1.6,"Akdeniz - Mersin Körfezi - [21.29 km] Karataş (Adana)",509433
"2021-08-12T08:04:28",31.075,35.7898,7.06,0.96,"ML",2.2,"Akdeniz - [83.38 km] Kumluca (Antalya)",509419
"2021-08-11T09:48:21",30.4673,35.7013,6.91,0.98,"ML",3.2,"Akdeniz - [68.44 km] Kumluca (Antalya)",509344
"2021-07-24T09:07:12",30.0051,36.012,6.31,0.38,"ML",2,"Akdeniz - [24.86 km] Demre (Antalya)",507470
"2021-07-23T19:37:06",30.9903,36.4595,7.77,0.81,"ML",1.6,"Akdeniz - Antalya Körfezi - [39.86 km] Kemer (Antalya)",507426
"2021-07-13T11:02:18",35.9708,36.6833,7,0.31,"ML",1.4,"Akdeniz - İskenderun Körfezi - [18.14 km] Yumurtalık (Adana)",506689
"2021-07-12T02:30:44",35.6748,36.3096,7.07,0.27,"ML",2.1,"Akdeniz - [10.39 km] Arsuz (Hatay)",506625
"2021-07-10T12:27:59",31.1798,36.051,6.9,0.35,"ML",2.1,"Akdeniz - [74.05 km] Kumluca (Antalya)",506478
"2021-07-07T20:11:39",31.7958,36.0726,5.81,0.27,"ML",1.2,"Akdeniz - [49.68 km] Gazipaşa (Antalya)",506347
"2021-07-01T11:45:14",31.5265,36.0158,5.83,0.19,"ML",1.8,"Akdeniz - [70.91 km] Alanya (Antalya)",505995
"2021-06-30T21:59:18",31.7031,35.52,4.19,0.77,"ML",1.9,"Akdeniz - [96.80 km] Gazipaşa (Antalya)",505956
"2021-06-28T12:04:28",31.4985,35.7766,8.69,0.35,"ML",1.5,"Akdeniz - [89.54 km] Gazipaşa (Antalya)",505759
"2021-06-25T14:31:32",31.2391,35.2203,7.78,0.93,"ML",2.2,"Akdeniz - [143.15 km] Kumluca (Antalya)",505556
"2021-06-25T10:31:23",30.1048,35.9983,7.49,0.34,"ML",1.4,"Akdeniz - [28.20 km] Demre (Antalya)",505539
"2021-06-24T21:38:26",35.9061,36.0706,6.74,0.58,"ML",1.4,"Akdeniz - Antakya Körfezi - [05.14 km] Samandağ (Hatay)",505436
"2021-06-18T05:26:40",30.976,35.9016,6.83,0.23,"ML",2.4,"Akdeniz - [68.27 km] Kumluca (Antalya)",504925
"2021-06-17T10:01:19",30.9325,35.203,4.24,0.35,"ML",1.9,"Akdeniz - [132.97 km] Kumluca (Antalya)",504880
"2021-06-16T09:30:19",36.1106,36.7126,7,0.92,"ML",1.2,"Akdeniz - İskenderun Körfezi - [09.87 km] Payas (Hatay)",504793
"2021-06-14T04:50:11",31.814,35.9193,6.33,0.8,"ML",1.5,"Akdeniz - [57.32 km] Gazipaşa (Antalya)",504674
"2021-06-11T23:47:02",35.9196,36.8513,7,0.61,"ML",1.4,"Akdeniz - İskenderun Körfezi - [03.58 km] Yumurtalık (Adana)",504586
"2021-06-11T16:51:57",31.5143,36.012,6.5,0.53,"ML",2.1,"Akdeniz - [71.90 km] Alanya (Antalya)",504546
"2021-06-11T16:49:55",31.5143,35.9413,7.71,0.6,"ML",2.2,"Akdeniz - [78.35 km] Alanya (Antalya)",504545
"2021-06-11T07:39:34",31.5676,36.294,7.1,0.12,"ML",1.8,"Akdeniz - [41.34 km] Alanya (Antalya)",504525
"2021-06-10T07:47:15",31.0485,35.9773,6.58,0.26,"ML",1.5,"Akdeniz - [67.90 km] Kumluca (Antalya)",504486
"2021-06-10T07:23:19",31.1533,35.853,6.77,0.26,"ML",2.3,"Akdeniz - [83.81 km] Kumluca (Antalya)",504485
"2021-05-30T22:13:14",35.7718,36.3603,7,0.2,"ML",1.1,"Akdeniz - İskenderun Körfezi - [05.01 km] Arsuz (Hatay)",503940
"2021-05-30T16:24:52",30.147,35.9156,6.57,0.48,"ML",2.3,"Akdeniz - [38.13 km] Demre (Antalya)",503924
"2021-05-29T17:22:02",34.1385,36.1271,7.02,0.66,"ML",1.7,"Akdeniz - [26.01 km] Silifke (Mersin)",503875
"2021-05-24T07:31:25",31.6596,36.0235,7.21,0.39,"ML",2.1,"Akdeniz - [63.11 km] Gazipaşa (Antalya)",503578
"2021-05-20T21:30:30",31.5863,35.9053,7.72,0.51,"ML",1.5,"Akdeniz - [75.02 km] Gazipaşa (Antalya)",503407
"2021-05-20T09:20:59",34.6888,36.8063,8.83,0.91,"ML",1.4,"Akdeniz - Mersin Körfezi - [00.77 km] Akdeniz (Mersin)",503359
"2021-05-14T02:56:09",31.6163,36.114,7.05,0.47,"ML",1.9,"Akdeniz - [57.34 km] Alanya (Antalya)",502378
"2021-05-03T10:50:53",30.7308,36.7225,7.22,0.22,"ML",1.8,"Akdeniz - Antalya Körfezi - [14.62 km] Muratpaşa (Antalya)",501695
"2021-05-01T10:54:56",30.0235,36.1638,7,0.7,"ML",1.6,"Akdeniz - [08.44 km] Demre (Antalya)",501564
"2021-04-30T18:31:49",30.0198,36.0861,5.39,0.24,"ML",2,"Akdeniz - [16.78 km] Demre (Antalya)",501500
"2021-04-30T07:52:20",31.5913,36.5526,6.43,0.71,"ML",4,"Akdeniz - Antalya Körfezi - [14.82 km] Alanya (Antalya)",501446
"2021-04-30T04:58:11",35.726,35.9906,6.66,0.38,"ML",3,"Akdeniz - [20.27 km] Yayladağı (Hatay)",501429
"2021-04-29T10:20:30",31.218,36.014,8.3,0.7,"ML",2,"Akdeniz - [78.93 km] Kumluca (Antalya)",501396
"2021-04-24T09:26:42",36.148,36.635,6.88,0.52,"ML",2.1,"Akdeniz - İskenderun Körfezi - [04.81 km] İskenderun (Hatay)",500932
"2021-04-22T11:01:57",30.528,36.058,8.9,0.7,"ML",1.9,"Akdeniz - [31.28 km] Kumluca (Antalya)",500786
"2021-04-21T06:34:49",31.4011,35.7548,7.84,0.86,"ML",2.3,"Akdeniz - [98.13 km] Gazipaşa (Antalya)",500652
"2021-03-31T20:14:10",36.0098,36.8263,7,0.25,"ML",1.6,"Akdeniz - İskenderun Körfezi - [11.73 km] Yumurtalık (Adana)",498420
"2021-03-29T07:55:38",36.1758,36.6963,6.87,0.53,"ML",1.6,"Akdeniz - İskenderun Körfezi - [04.73 km] İskenderun (Hatay)",498278
"2021-03-28T19:21:46",31.521,35.607,8,0.63,"ML",1.9,"Akdeniz - [100.35 km] Gazipaşa (Antalya)",498231
"2021-03-28T00:28:30",31.3086,35.8135,6.8,0.53,"ML",1.6,"Akdeniz - [97.58 km] Kumluca (Antalya)",498156
"2021-03-25T09:38:58",36.0075,36.831,6.98,0.58,"ML",2.9,"Akdeniz - İskenderun Körfezi - [11.31 km] Yumurtalık (Adana)",498021
"2021-03-20T16:14:27",31.4545,36.0173,7.21,0.78,"ML",1.5,"Akdeniz - [73.69 km] Alanya (Antalya)",497822
"2021-03-20T02:16:47",36.0023,36.831,7,0.4,"ML",2.7,"Akdeniz - İskenderun Körfezi - [10.90 km] Yumurtalık (Adana)",497768
